i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,4.680960869565217
Anhui,1997,maize,spring,harvesting,4.574800000000001
Anhui,1997,maize,spring,sowing,2.4520852459016393
Anhui,1997,maize,summer,growing,5.184384782608696
Anhui,1997,maize,summer,harvesting,1.3298688524590163
Anhui,1997,maize,summer,sowing,3.080767741935484
Anhui,1997,rice,single,growing,4.035573202614379
Anhui,1997,rice,single,harvesting,1.166016129032258
Anhui,1997,rice,single,sowing,2.07114
Anhui,1997,soybean,single,growing,5.184384782608696
Anhui,1997,soybean,single,harvesting,1.3298688524590163
Anhui,1997,soybean,single,sowing,3.080767741935484
Anhui,1998,maize,spring,growing,7.271120652173913
Anhui,1998,maize,spring,harvesting,4.987190322580646
Anhui,1998,maize,spring,sowing,4.859960655737705
Anhui,1998,maize,summer,growing,7.205996739130434
Anhui,1998,maize,summer,harvesting,1.3509131147540983
Anhui,1998,maize,summer,sowing,5.18046129032258
Anhui,1998,rice,single,growing,5.694560784313725
Anhui,1998,rice,single,harvesting,1.1188354838709678
Anhui,1998,rice,single,sowing,5.212276666666667
Anhui,1998,soybean,single,growing,7.205996739130434
Anhui,1998,soybean,single,harvesting,1.3509131147540983
Anhui,1998,soybean,single,sowing,5.18046129032258
Anhui,1998,wheat,winter,growing,3.6952174528301884
Anhui,1998,wheat,winter,harvesting,8.813343333333334
Anhui,1998,wheat,winter,sowing,1.3298688524590163
Anhui,1999,maize,spring,growing,7.470803260869565
Anhui,1999,maize,spring,harvesting,7.012122580645161
Anhui,1999,maize,spring,sowing,3.7568868852459016
Anhui,1999,maize,summer,growing,8.448403260869565
Anhui,1999,maize,summer,harvesting,2.9276573770491803
Anhui,1999,maize,summer,sowing,4.110858064516129
Anhui,1999,rice,single,growing,6.353311764705882
Anhui,1999,rice,single,harvesting,3.587745161290323
Anhui,1999,rice,single,sowing,3.787433333333333
Anhui,1999,soybean,single,growing,8.448403260869565
Anhui,1999,soybean,single,harvesting,2.9276573770491803
Anhui,1999,soybean,single,sowing,4.110858064516129
Anhui,1999,wheat,winter,growing,2.063454716981132
Anhui,1999,wheat,winter,harvesting,13.721386666666666
Anhui,1999,wheat,winter,sowing,1.3509131147540983
Anhui,2000,maize,spring,growing,5.401559782608695
Anhui,2000,maize,spring,harvesting,5.417067741935484
Anhui,2000,maize,spring,sowing,1.3870852459016394
Anhui,2000,maize,summer,growing,5.871694565217391
Anhui,2000,maize,summer,harvesting,3.5357360655737704
Anhui,2000,maize,summer,sowing,4.021829032258065
Anhui,2000,rice,single,growing,5.053371241830066
Anhui,2000,rice,single,harvesting,3.4640870967741937
Anhui,2000,rice,single,sowing,1.5072800000000002
Anhui,2000,soybean,single,growing,5.871694565217391
Anhui,2000,soybean,single,harvesting,3.5357360655737704
Anhui,2000,soybean,single,sowing,4.021829032258065
Anhui,2000,wheat,winter,growing,1.7383504716981133
Anhui,2000,wheat,winter,harvesting,8.312063333333333
Anhui,2000,wheat,winter,sowing,2.9276573770491803
Anhui,2001,maize,spring,growing,3.446472826086956
Anhui,2001,maize,spring,harvesting,5.341016129032258
Anhui,2001,maize,spring,sowing,2.1245688524590167
Anhui,2001,maize,summer,growing,4.7774086956521735
Anhui,2001,maize,summer,harvesting,0.9830983606557377
Anhui,2001,maize,summer,sowing,1.391141935483871
Anhui,2001,rice,single,growing,3.207227450980392
Anhui,2001,rice,single,harvesting,1.6745225806451614
Anhui,2001,rice,single,sowing,3.1464166666666666
Anhui,2001,soybean,single,growing,4.7774086956521735
Anhui,2001,soybean,single,harvesting,0.9830983606557377
Anhui,2001,soybean,single,sowing,1.391141935483871
Anhui,2001,wheat,winter,growing,2.0219661971830982
Anhui,2001,wheat,winter,harvesting,4.625253333333333
Anhui,2001,wheat,winter,sowing,3.5357360655737704
Anhui,2002,maize,spring,growing,6.197684782608696
Anhui,2002,maize,spring,harvesting,4.765290322580645
Anhui,2002,maize,spring,sowing,4.339381967213114
Anhui,2002,maize,summer,growing,5.9143228260869565
Anhui,2002,maize,summer,harvesting,1.7138278688524589
Anhui,2002,maize,summer,sowing,5.606235483870967
Anhui,2002,rice,single,growing,5.002353594771241
Anhui,2002,rice,single,harvesting,1.8417548387096774
Anhui,2002,rice,single,sowing,4.792646666666667
Anhui,2002,soybean,single,growing,5.9143228260869565
Anhui,2002,soybean,single,harvesting,1.7138278688524589
Anhui,2002,soybean,single,sowing,5.606235483870967
Anhui,2002,wheat,winter,growing,3.0089457547169807
Anhui,2002,wheat,winter,harvesting,7.286513333333334
Anhui,2002,wheat,winter,sowing,0.9830983606557377
Anhui,2003,maize,spring,growing,7.117726086956521
Anhui,2003,maize,spring,harvesting,5.558696774193549
Anhui,2003,maize,spring,sowing,4.496444262295082
Anhui,2003,maize,summer,growing,7.886551086956521
Anhui,2003,maize,summer,harvesting,2.731067213114754
Anhui,2003,maize,summer,sowing,3.2770225806451614
Anhui,2003,rice,single,growing,5.878337908496732
Anhui,2003,rice,single,harvesting,3.043864516129032
Anhui,2003,rice,single,sowing,4.765643333333333
Anhui,2003,soybean,single,growing,7.886551086956521
Anhui,2003,soybean,single,harvesting,2.731067213114754
Anhui,2003,soybean,single,sowing,3.2770225806451614
Anhui,2003,wheat,winter,growing,2.9815834905660377
Anhui,2003,wheat,winter,harvesting,7.926666666666667
Anhui,2003,wheat,winter,sowing,1.7138278688524589
Anhui,2004,maize,spring,growing,5.068255434782609
Anhui,2004,maize,spring,harvesting,5.401522580645161
Anhui,2004,maize,spring,sowing,2.2056721311475407
Anhui,2004,maize,summer,growing,5.130595652173914
Anhui,2004,maize,summer,harvesting,1.2395901639344264
Anhui,2004,maize,summer,sowing,5.216512903225806
Anhui,2004,rice,single,growing,4.602156862745098
Anhui,2004,rice,single,harvesting,0.16811935483870968
Anhui,2004,rice,single,sowing,2.9128033333333336
Anhui,2004,soybean,single,growing,5.130595652173914
Anhui,2004,soybean,single,harvesting,1.2395901639344264
Anhui,2004,soybean,single,sowing,5.216512903225806
Anhui,2004,wheat,winter,growing,2.236501886792453
Anhui,2004,wheat,winter,harvesting,5.9027433333333335
Anhui,2004,wheat,winter,sowing,2.731067213114754
Anhui,2005,maize,spring,growing,5.641065217391303
Anhui,2005,maize,spring,harvesting,6.745074193548388
Anhui,2005,maize,spring,sowing,2.3708131147540983
Anhui,2005,maize,summer,growing,6.778614130434783
Anhui,2005,maize,summer,harvesting,3.157272131147541
Anhui,2005,maize,summer,sowing,3.3691225806451617
Anhui,2005,rice,single,growing,5.766550326797385
Anhui,2005,rice,single,harvesting,1.2382806451612902
Anhui,2005,rice,single,sowing,3.0063400000000002
Anhui,2005,soybean,single,growing,6.778614130434783
Anhui,2005,soybean,single,harvesting,3.157272131147541
Anhui,2005,soybean,single,sowing,3.3691225806451617
Anhui,2005,wheat,winter,growing,2.186462910798122
Anhui,2005,wheat,winter,harvesting,3.864106666666667
Anhui,2005,wheat,winter,sowing,1.2395901639344264
Anhui,2006,maize,spring,growing,5.383326086956522
Anhui,2006,maize,spring,harvesting,3.6436935483870965
Anhui,2006,maize,spring,sowing,2.2586278688524595
Anhui,2006,maize,summer,growing,5.3343
Anhui,2006,maize,summer,harvesting,1.7944983606557376
Anhui,2006,maize,summer,sowing,3.7891903225806454
Anhui,2006,rice,single,growing,4.57073660130719
Anhui,2006,rice,single,harvesting,0.5923290322580645
Anhui,2006,rice,single,sowing,3.919026666666667
Anhui,2006,soybean,single,growing,5.3343
Anhui,2006,soybean,single,harvesting,1.7944983606557376
Anhui,2006,soybean,single,sowing,3.7891903225806454
Anhui,2006,wheat,winter,growing,2.265554716981132
Anhui,2006,wheat,winter,harvesting,4.2273266666666665
Anhui,2006,wheat,winter,sowing,3.157272131147541
Anhui,2007,maize,spring,growing,6.041122826086957
Anhui,2007,maize,spring,harvesting,5.793906451612903
Anhui,2007,maize,spring,sowing,3.2727016393442625
Anhui,2007,maize,summer,growing,7.054104347826088
Anhui,2007,maize,summer,harvesting,2.2549180327868856
Anhui,2007,maize,summer,sowing,2.7876387096774193
Anhui,2007,rice,single,growing,5.44923660130719
Anhui,2007,rice,single,harvesting,1.2648774193548387
Anhui,2007,rice,single,sowing,3.1476866666666665
Anhui,2007,soybean,single,growing,7.054104347826088
Anhui,2007,soybean,single,harvesting,2.2549180327868856
Anhui,2007,soybean,single,sowing,2.7876387096774193
Anhui,2007,wheat,winter,growing,2.379057547169811
Anhui,2007,wheat,winter,harvesting,4.317023333333334
Anhui,2007,wheat,winter,sowing,1.7944983606557376
Anhui,2008,maize,spring,growing,5.342373913043478
Anhui,2008,maize,spring,harvesting,7.917864516129033
Anhui,2008,maize,spring,sowing,2.408209836065574
Anhui,2008,maize,summer,growing,6.73975
Anhui,2008,maize,summer,harvesting,1.7354967213114756
Anhui,2008,maize,summer,sowing,3.7708129032258064
Anhui,2008,rice,single,growing,5.0945366013071895
Anhui,2008,rice,single,harvesting,2.043658064516129
Anhui,2008,rice,single,sowing,3.6610766666666668
Anhui,2008,soybean,single,growing,6.73975
Anhui,2008,soybean,single,harvesting,1.7354967213114756
Anhui,2008,soybean,single,sowing,3.7708129032258064
Anhui,2008,wheat,winter,growing,2.047138679245283
Anhui,2008,wheat,winter,harvesting,6.148493333333334
Anhui,2008,wheat,winter,sowing,2.2549180327868856
Anhui,2009,maize,spring,growing,5.704864130434783
Anhui,2009,maize,spring,harvesting,5.214509677419355
Anhui,2009,maize,spring,sowing,2.5405163934426227
Anhui,2009,maize,summer,growing,6.2692434782608695
Anhui,2009,maize,summer,harvesting,1.4567573770491804
Anhui,2009,maize,summer,sowing,3.539577419354839
Anhui,2009,rice,single,growing,4.966126797385621
Anhui,2009,rice,single,harvesting,0.5013580645161291
Anhui,2009,rice,single,sowing,2.6027199999999997
Anhui,2009,soybean,single,growing,6.2692434782608695
Anhui,2009,soybean,single,harvesting,1.4567573770491804
Anhui,2009,soybean,single,sowing,3.539577419354839
Anhui,2009,wheat,winter,growing,2.166515023474178
Anhui,2009,wheat,winter,harvesting,6.314116666666666
Anhui,2009,wheat,winter,sowing,1.7354967213114756
Anhui,2010,maize,spring,growing,5.489495652173914
Anhui,2010,maize,spring,harvesting,4.272296774193548
Anhui,2010,maize,spring,sowing,4.961595081967213
Anhui,2010,maize,summer,growing,5.921417391304348
Anhui,2010,maize,summer,harvesting,3.6956868852459017
Anhui,2010,maize,summer,sowing,2.9904645161290326
Anhui,2010,rice,single,growing,5.3077973856209155
Anhui,2010,rice,single,harvesting,1.6393129032258065
Anhui,2010,rice,single,sowing,5.151913333333334
Anhui,2010,soybean,single,growing,5.921417391304348
Anhui,2010,soybean,single,harvesting,3.6956868852459017
Anhui,2010,soybean,single,sowing,2.9904645161290326
Anhui,2010,wheat,winter,growing,3.174667924528302
Anhui,2010,wheat,winter,harvesting,3.31584
Anhui,2010,wheat,winter,sowing,1.4567573770491804
Anhui,2011,maize,spring,growing,6.0620771739130435
Anhui,2011,maize,spring,harvesting,7.275961290322581
Anhui,2011,maize,spring,sowing,1.173572131147541
Anhui,2011,maize,summer,growing,7.735518478260869
Anhui,2011,maize,summer,harvesting,1.661806557377049
Anhui,2011,maize,summer,sowing,2.30961935483871
Anhui,2011,rice,single,growing,5.466837254901961
Anhui,2011,rice,single,harvesting,1.5551612903225807
Anhui,2011,rice,single,sowing,0.9722233333333333
Anhui,2011,soybean,single,growing,7.735518478260869
Anhui,2011,soybean,single,harvesting,1.661806557377049
Anhui,2011,soybean,single,sowing,2.30961935483871
Anhui,2011,wheat,winter,growing,1.0601735849056604
Anhui,2011,wheat,winter,harvesting,9.753546666666667
Anhui,2011,wheat,winter,sowing,3.6956868852459017
Anhui,2012,maize,spring,growing,4.253213043478261
Anhui,2012,maize,spring,harvesting,6.971254838709678
Anhui,2012,maize,spring,sowing,3.216081967213115
Anhui,2012,maize,summer,growing,5.286630434782609
Anhui,2012,maize,summer,harvesting,2.6715901639344266
Anhui,2012,maize,summer,sowing,3.904338709677419
Anhui,2012,rice,single,growing,4.717052287581699
Anhui,2012,rice,single,harvesting,1.569758064516129
Anhui,2012,rice,single,sowing,2.2032233333333333
Anhui,2012,soybean,single,growing,5.286630434782609
