i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,72.31753646
Anhui,1997,maize,spring,harvesting,37.95910496
Anhui,1997,maize,spring,sowing,0.0
Anhui,1997,maize,summer,growing,100.88106061
Anhui,1997,maize,summer,harvesting,3.4513888799999997
Anhui,1997,maize,summer,sowing,9.395580809999995
Anhui,1997,rice,single,growing,113.7280303
Anhui,1997,rice,single,harvesting,0.0
Anhui,1997,rice,single,sowing,0.0
Anhui,1997,soybean,single,growing,100.88106061
Anhui,1997,soybean,single,harvesting,3.4513888799999997
Anhui,1997,soybean,single,sowing,9.395580809999995
Anhui,1998,maize,spring,growing,70.32638887000002
Anhui,1998,maize,spring,harvesting,45.04398147
Anhui,1998,maize,spring,sowing,2.5694444400000016
Anhui,1998,maize,summer,growing,115.37037034000002
Anhui,1998,maize,summer,harvesting,13.361111100000002
Anhui,1998,maize,summer,sowing,0.0
Anhui,1998,rice,single,growing,127.31481477000001
Anhui,1998,rice,single,harvesting,1.4166666700000015
Anhui,1998,rice,single,sowing,2.5694444400000016
Anhui,1998,soybean,single,growing,115.37037034000002
Anhui,1998,soybean,single,harvesting,13.361111100000002
Anhui,1998,soybean,single,sowing,0.0
Anhui,1998,wheat,winter,growing,594.58796294
Anhui,1998,wheat,winter,harvesting,6.986111110000007
Anhui,1998,wheat,winter,sowing,3.4513888799999997
Anhui,1999,maize,spring,growing,43.04398148999999
Anhui,1999,maize,spring,harvesting,21.446759259999993
Anhui,1999,maize,spring,sowing,0.0
Anhui,1999,maize,summer,growing,60.358796299999995
Anhui,1999,maize,summer,harvesting,24.41666666
Anhui,1999,maize,summer,sowing,4.131944449999999
Anhui,1999,rice,single,growing,88.90740740999999
Anhui,1999,rice,single,harvesting,0.0
Anhui,1999,rice,single,sowing,0.0
Anhui,1999,soybean,single,growing,60.358796299999995
Anhui,1999,soybean,single,harvesting,24.41666666
Anhui,1999,soybean,single,sowing,4.131944449999999
Anhui,1999,wheat,winter,growing,4.131944449999999
Anhui,1999,wheat,winter,harvesting,11.502314809999994
Anhui,1999,wheat,winter,sowing,13.361111100000002
Anhui,2000,maize,spring,growing,92.31250003
Anhui,2000,maize,spring,harvesting,31.986111109999992
Anhui,2000,maize,spring,sowing,0.0
Anhui,2000,maize,summer,growing,105.40277780999999
Anhui,2000,maize,summer,harvesting,4.868055559999995
Anhui,2000,maize,summer,sowing,18.89583333
Anhui,2000,rice,single,growing,129.16666669999998
Anhui,2000,rice,single,harvesting,0.0
Anhui,2000,rice,single,sowing,0.0
Anhui,2000,soybean,single,growing,105.40277780999999
Anhui,2000,soybean,single,harvesting,4.868055559999995
Anhui,2000,soybean,single,sowing,18.89583333
Anhui,2000,wheat,winter,growing,18.89583333
Anhui,2000,wheat,winter,harvesting,5.430555569999999
Anhui,2000,wheat,winter,sowing,24.41666666
Anhui,2001,maize,spring,growing,117.59027779999997
Anhui,2001,maize,spring,harvesting,19.326388910000002
Anhui,2001,maize,spring,sowing,0.0
Anhui,2001,maize,summer,growing,129.43055558999998
Anhui,2001,maize,summer,harvesting,0.42361111000000307
Anhui,2001,maize,summer,sowing,7.486111119999993
Anhui,2001,rice,single,growing,137.34027781999998
Anhui,2001,rice,single,harvesting,0.0
Anhui,2001,rice,single,sowing,0.0
Anhui,2001,soybean,single,growing,129.43055558999998
Anhui,2001,soybean,single,harvesting,0.42361111000000307
Anhui,2001,soybean,single,sowing,7.486111119999993
Anhui,2001,wheat,winter,growing,7.486111119999993
Anhui,2001,wheat,winter,harvesting,14.25000001
Anhui,2001,wheat,winter,sowing,4.868055559999995
Anhui,2002,maize,spring,growing,97.97916665
Anhui,2002,maize,spring,harvesting,39.77777777000001
Anhui,2002,maize,spring,sowing,0.0
Anhui,2002,maize,summer,growing,136.38194442
Anhui,2002,maize,summer,harvesting,16.881944430000004
Anhui,2002,maize,summer,sowing,1.375
Anhui,2002,rice,single,growing,152.23611108
Anhui,2002,rice,single,harvesting,2.40277777
Anhui,2002,rice,single,sowing,0.0
Anhui,2002,soybean,single,growing,136.38194442
Anhui,2002,soybean,single,harvesting,16.881944430000004
Anhui,2002,soybean,single,sowing,1.375
Anhui,2002,wheat,winter,growing,1.375
Anhui,2002,wheat,winter,harvesting,38.8125
Anhui,2002,wheat,winter,sowing,0.42361111000000307
Anhui,2003,maize,spring,growing,71.59722223
Anhui,2003,maize,spring,harvesting,54.222222230000014
Anhui,2003,maize,spring,sowing,0.0
Anhui,2003,maize,summer,growing,124.84722224000001
Anhui,2003,maize,summer,harvesting,2.6319444500000024
Anhui,2003,maize,summer,sowing,0.972222219999999
Anhui,2003,rice,single,growing,128.45138891000002
Anhui,2003,rice,single,harvesting,0.0
Anhui,2003,rice,single,sowing,0.0
Anhui,2003,soybean,single,growing,124.84722224000001
Anhui,2003,soybean,single,harvesting,2.6319444500000024
