i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,-0.8541210984730845
Anhui,1997,maize,spring,harvesting,-0.5309866690123455
Anhui,1997,maize,spring,sowing,-0.5938785715956665
Anhui,1997,maize,summer,growing,-0.9154010841228273
Anhui,1997,maize,summer,harvesting,-0.876558988195696
Anhui,1997,maize,summer,sowing,-0.6029620166555261
Anhui,1997,rice,single,growing,-1.155713565833872
Anhui,1997,rice,single,harvesting,-0.5332456827314515
Anhui,1997,rice,single,sowing,-0.9191487940495163
Anhui,1997,soybean,single,growing,-0.9154010841228273
Anhui,1997,soybean,single,harvesting,-0.876558988195696
Anhui,1997,soybean,single,sowing,-0.6029620166555261
Anhui,1998,maize,spring,growing,0.751747899836081
Anhui,1998,maize,spring,harvesting,-0.27650053328868895
Anhui,1998,maize,spring,sowing,1.6770085027400468
Anhui,1998,maize,summer,growing,0.42849893412883977
Anhui,1998,maize,summer,harvesting,-0.8597963335719256
Anhui,1998,maize,summer,sowing,0.8652847150461548
Anhui,1998,rice,single,growing,0.3478255894729844
Anhui,1998,rice,single,harvesting,-0.5639043224406781
Anhui,1998,rice,single,sowing,1.3211960047724496
Anhui,1998,soybean,single,growing,0.42849893412883977
Anhui,1998,soybean,single,harvesting,-0.8597963335719256
Anhui,1998,soybean,single,sowing,0.8652847150461548
Anhui,1998,wheat,winter,growing,2.3371071573435
Anhui,1998,wheat,winter,harvesting,0.6831944870414682
Anhui,1998,wheat,winter,sowing,-0.9043386741622579
Anhui,1999,maize,spring,growing,0.8755487992859559
Anhui,1999,maize,spring,harvesting,0.973085495385017
Anhui,1999,maize,spring,sowing,0.6366905705015429
Anhui,1999,maize,summer,growing,1.2544092389501171
Anhui,1999,maize,summer,harvesting,0.3961478819229017
Anhui,1999,maize,summer,sowing,0.11734631150424268
Anhui,1999,rice,single,growing,0.9448510907741057
Anhui,1999,rice,single,harvesting,1.040427538979618
Anhui,1999,rice,single,sowing,0.3049586710568986
Anhui,1999,soybean,single,growing,1.2544092389501171
Anhui,1999,soybean,single,harvesting,0.3961478819229017
Anhui,1999,soybean,single,sowing,0.11734631150424268
Anhui,1999,wheat,winter,growing,-0.7166980343145806
Anhui,1999,wheat,winter,harvesting,2.38198282309108
Anhui,1999,wheat,winter,sowing,-0.8876749392457918
Anhui,2000,maize,spring,growing,-0.4073581371910838
Anhui,2000,maize,spring,harvesting,-0.011223107276643269
Anhui,2000,maize,spring,sowing,-1.5982888181923507
Anhui,2000,maize,summer,growing,-0.4585005269152046
Anhui,2000,maize,summer,harvesting,0.8805085545322269
Anhui,2000,maize,summer,sowing,0.055091233500179866
Anhui,2000,rice,single,growing,-0.23328399430700103
Anhui,2000,rice,single,harvesting,0.9600728080474766
Anhui,2000,rice,single,sowing,-1.321309206765429
Anhui,2000,soybean,single,growing,-0.4585005269152046
Anhui,2000,soybean,single,harvesting,0.8805085545322269
Anhui,2000,soybean,single,sowing,0.055091233500179866
Anhui,2000,wheat,winter,growing,-1.3251229053230351
Anhui,2000,wheat,winter,harvesting,0.5096897807338729
Anhui,2000,wheat,winter,sowing,0.3608577035014197
Anhui,2001,maize,spring,growing,-1.619489355333464
Anhui,2001,maize,spring,harvesting,-0.058154570076691024
Anhui,2001,maize,spring,sowing,-0.9027619720671796
Anhui,2001,maize,summer,growing,-1.185945175892983
Anhui,2001,maize,summer,harvesting,-1.1527765104022982
Anhui,2001,maize,summer,sowing,-1.7844618455362893
Anhui,2001,rice,single,growing,-1.90644267643881
Anhui,2001,rice,single,harvesting,-0.20281111498610827
Anhui,2001,rice,single,sowing,-0.15223199191696962
Anhui,2001,soybean,single,growing,-1.185945175892983
Anhui,2001,soybean,single,harvesting,-1.1527765104022982
Anhui,2001,soybean,single,sowing,-1.7844618455362893
Anhui,2001,wheat,winter,growing,-0.7764934657692648
Anhui,2001,wheat,winter,harvesting,-0.7664011988821187
Anhui,2001,wheat,winter,sowing,0.8423600689368759
Anhui,2002,maize,spring,growing,0.08623012128741962
Anhui,2002,maize,spring,harvesting,-0.41343505969488614
Anhui,2002,maize,spring,sowing,1.1860464662011148
Anhui,2002,maize,summer,growing,-0.43016268474137165
Anhui,2002,maize,summer,harvesting,-0.5707192162313444
Anhui,2002,maize,summer,sowing,1.163014623584735
Anhui,2002,rice,single,growing,-0.27952124816636614
Anhui,2002,rice,single,harvesting,-0.09414126678388378
Anhui,2002,rice,single,sowing,1.0219043827599315
Anhui,2002,soybean,single,growing,-0.43016268474137165
Anhui,2002,soybean,single,harvesting,-0.5707192162313444
Anhui,2002,soybean,single,sowing,1.163014623584735
Anhui,2002,wheat,winter,growing,1.0527659792152704
Anhui,2002,wheat,winter,harvesting,0.15472299260397762
Anhui,2002,wheat,winter,sowing,-1.1789261826829467
Anhui,2003,maize,spring,growing,0.6566450500251602
Anhui,2003,maize,spring,harvesting,0.07617619176628625
Anhui,2003,maize,spring,sowing,1.334173206608927
Anhui,2003,maize,summer,growing,0.8809087042205882
Anhui,2003,maize,summer,harvesting,0.2395554115261934
Anhui,2003,maize,summer,sowing,-0.4657274541464064
Anhui,2003,rice,single,growing,0.5143826542195472
Anhui,2003,rice,single,harvesting,0.687006328061064
Anhui,2003,rice,single,sowing,1.002644865010776
Anhui,2003,soybean,single,growing,0.8809087042205882
Anhui,2003,soybean,single,harvesting,0.2395554115261934
Anhui,2003,soybean,single,sowing,-0.4657274541464064
Anhui,2003,wheat,winter,growing,1.0015581519472991
Anhui,2003,wheat,winter,harvesting,0.376295000447554
