i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,1342.94088107
Anhui,1997,maize,spring,harvesting,516.60956791
Anhui,1997,maize,spring,sowing,211.93512906
Anhui,1997,maize,summer,growing,1478.70764592
Anhui,1997,maize,summer,harvesting,548.96604935
Anhui,1997,maize,summer,sowing,380.84280306
Anhui,1997,rice,single,growing,2174.41850451
Anhui,1997,rice,single,harvesting,234.09799382
Anhui,1997,rice,single,sowing,164.3584596
Anhui,1997,soybean,single,growing,1478.70764592
Anhui,1997,soybean,single,harvesting,548.96604935
Anhui,1997,soybean,single,sowing,380.84280306
Anhui,1998,maize,spring,growing,1283.13966053
Anhui,1998,maize,spring,harvesting,524.03742283
Anhui,1998,maize,spring,sowing,277.00694445
Anhui,1998,maize,summer,growing,1504.43325618
Anhui,1998,maize,summer,harvesting,637.89583335
Anhui,1998,maize,summer,sowing,302.74382718
Anhui,1998,rice,single,growing,2199.56597225
Anhui,1998,rice,single,harvesting,245.50694446
Anhui,1998,rice,single,sowing,238.34722222000002
Anhui,1998,soybean,single,growing,1504.43325618
Anhui,1998,soybean,single,harvesting,637.89583335
Anhui,1998,soybean,single,sowing,302.74382718
Anhui,1998,wheat,winter,growing,628.83410495
Anhui,1998,wheat,winter,harvesting,419.24999999
Anhui,1998,wheat,winter,sowing,548.96604935
Anhui,1999,maize,spring,growing,1226.02314812
Anhui,1999,maize,spring,harvesting,467.75000001
Anhui,1999,maize,spring,sowing,191.43055553
Anhui,1999,maize,summer,growing,1361.62037038
Anhui,1999,maize,summer,harvesting,602.36790124
Anhui,1999,maize,summer,sowing,332.15277775
Anhui,1999,rice,single,growing,2104.6800926
Anhui,1999,rice,single,harvesting,191.46095677
Anhui,1999,rice,single,sowing,165.97916666
Anhui,1999,soybean,single,growing,1361.62037038
Anhui,1999,soybean,single,harvesting,602.36790124
Anhui,1999,soybean,single,sowing,332.15277775
Anhui,1999,wheat,winter,growing,628.14583328
Anhui,1999,wheat,winter,harvesting,404.6373457
Anhui,1999,wheat,winter,sowing,637.89583335
Anhui,2000,maize,spring,growing,1351.22222223
Anhui,2000,maize,spring,harvesting,508.67361114
Anhui,2000,maize,spring,sowing,235.47916668
Anhui,2000,maize,summer,growing,1493.37500003
Anhui,2000,maize,summer,harvesting,565.25694442
Anhui,2000,maize,summer,sowing,366.52083334
Anhui,2000,rice,single,growing,2224.54166669
Anhui,2000,rice,single,harvesting,200.61111110000002
Anhui,2000,rice,single,sowing,191.56944445
Anhui,2000,soybean,single,growing,1493.37500003
Anhui,2000,soybean,single,harvesting,565.25694442
Anhui,2000,soybean,single,sowing,366.52083334
Anhui,2000,wheat,winter,growing,650.64814816
Anhui,2000,wheat,winter,harvesting,430.13194444
Anhui,2000,wheat,winter,sowing,602.36790124
Anhui,2001,maize,spring,growing,1365.69444446
Anhui,2001,maize,spring,harvesting,468.80555556
Anhui,2001,maize,spring,sowing,196.39583335
Anhui,2001,maize,summer,growing,1463.95833335
Anhui,2001,maize,summer,harvesting,589.7916666799999
Anhui,2001,maize,summer,sowing,370.54166667
Anhui,2001,rice,single,growing,2202.9166667
Anhui,2001,rice,single,harvesting,221.375
Anhui,2001,rice,single,sowing,144.64583334
Anhui,2001,soybean,single,growing,1463.95833335
Anhui,2001,soybean,single,harvesting,589.7916666799999
Anhui,2001,soybean,single,sowing,370.54166667
Anhui,2001,wheat,winter,growing,592.875
Anhui,2001,wheat,winter,harvesting,422.02777777
Anhui,2001,wheat,winter,sowing,565.25694442
Anhui,2002,maize,spring,growing,1283.40277777
Anhui,2002,maize,spring,harvesting,486.54861113
Anhui,2002,maize,spring,sowing,250.54861110000002
Anhui,2002,maize,summer,growing,1497.59027779
Anhui,2002,maize,summer,harvesting,570.69444441
Anhui,2002,maize,summer,sowing,272.36111111
Anhui,2002,rice,single,growing,2132.89583333
Anhui,2002,rice,single,harvesting,207.74999998
Anhui,2002,rice,single,sowing,170.97222223
Anhui,2002,soybean,single,growing,1497.59027779
Anhui,2002,soybean,single,harvesting,570.69444441
Anhui,2002,soybean,single,sowing,272.36111111
Anhui,2002,wheat,winter,growing,551.59027775
Anhui,2002,wheat,winter,harvesting,475.06249998
