i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,430.6484
Anhui,1997,maize,spring,harvesting,141.8188
Anhui,1997,maize,spring,sowing,149.5772
Anhui,1997,maize,summer,growing,476.9634
Anhui,1997,maize,summer,harvesting,81.122
Anhui,1997,maize,summer,sowing,95.5038
Anhui,1997,rice,single,growing,617.4427
Anhui,1997,rice,single,harvesting,36.146499999999996
Anhui,1997,rice,single,sowing,62.1342
Anhui,1997,soybean,single,growing,476.9634
Anhui,1997,soybean,single,harvesting,81.122
Anhui,1997,soybean,single,sowing,95.5038
Anhui,1998,maize,spring,growing,668.9431
Anhui,1998,maize,spring,harvesting,154.6029
Anhui,1998,maize,spring,sowing,296.4576
Anhui,1998,maize,summer,growing,662.9517
Anhui,1998,maize,summer,harvesting,82.4057
Anhui,1998,maize,summer,sowing,160.5943
Anhui,1998,rice,single,growing,871.2678
Anhui,1998,rice,single,harvesting,34.6839
Anhui,1998,rice,single,sowing,156.3683
Anhui,1998,soybean,single,growing,662.9517
Anhui,1998,soybean,single,harvesting,82.4057
Anhui,1998,soybean,single,sowing,160.5943
Anhui,1998,wheat,winter,growing,783.3860999999999
Anhui,1998,wheat,winter,harvesting,264.4003
Anhui,1998,wheat,winter,sowing,81.122
Anhui,1999,maize,spring,growing,687.3139
Anhui,1999,maize,spring,harvesting,217.3758
Anhui,1999,maize,spring,sowing,229.1701
Anhui,1999,maize,summer,growing,777.2531
Anhui,1999,maize,summer,harvesting,178.5871
Anhui,1999,maize,summer,sowing,127.4366
Anhui,1999,rice,single,growing,972.0567
Anhui,1999,rice,single,harvesting,111.2201
Anhui,1999,rice,single,sowing,113.62299999999999
Anhui,1999,soybean,single,growing,777.2531
Anhui,1999,soybean,single,harvesting,178.5871
Anhui,1999,soybean,single,sowing,127.4366
Anhui,1999,wheat,winter,growing,437.4524
Anhui,1999,wheat,winter,harvesting,411.6416
Anhui,1999,wheat,winter,sowing,82.4057
Anhui,2000,maize,spring,growing,496.9435
Anhui,2000,maize,spring,harvesting,167.9291
Anhui,2000,maize,spring,sowing,84.6122
Anhui,2000,maize,summer,growing,540.1958999999999
Anhui,2000,maize,summer,harvesting,215.6799
Anhui,2000,maize,summer,sowing,124.67670000000001
Anhui,2000,rice,single,growing,773.1658
Anhui,2000,rice,single,harvesting,107.3867
Anhui,2000,rice,single,sowing,45.2184
Anhui,2000,soybean,single,growing,540.1958999999999
